timestamp,open,high,low,close,volume
2023-03-27,1737.7500,1757.8500,1682.0000,1723.3000,270842
2023-03-24,1795.2000,1823.0000,1695.0500,1740.5500,339616
2023-03-23,1795.0000,1834.4500,1780.0000,1792.6000,255728
2023-03-22,1832.0000,1850.0000,1791.6500,1814.2000,351958
2023-03-21,1836.0000,1860.0000,1804.6000,1824.2500,384697
2023-03-20,1839.0500,1843.0500,1771.5000,1805.1000,480336
2023-03-17,1904.0000,1919.6500,1845.0000,1877.1500,298111
2023-03-16,1860.0000,1875.0500,1794.2000,1842.6000,300822
2023-03-15,1765.0000,1891.1000,1727.6000,1838.8000,571867
2023-03-14,1872.0000,1873.9500,1675.4000,1737.7500,683891
2023-03-13,1902.0000,1985.0000,1855.8000,1873.6000,761268
2023-03-10,1873.0500,1939.0500,1821.0000,1896.4500,483722
2023-03-09,2044.1000,2068.7500,1903.8500,1953.1000,1333387
2023-03-08,2040.0000,2085.4500,1942.1000,2039.6500,835151
2023-03-06,2000.0000,2135.0000,1855.0500,1982.8500,1758460
2023-03-03,1699.0000,1905.0000,1690.3500,1879.3500,1413077
2023-03-02,1501.0000,1646.0000,1408.1000,1606.7000,41017910
2023-03-01,1418.0000,1580.0000,1410.0000,1564.5500,1736654
2023-02-28,1138.0000,1421.9500,1103.0000,1364.0500,2070706
2023-02-27,1304.0000,1313.0000,1157.0000,1194.2000,651629
2023-02-24,1405.0000,1426.9500,1261.0500,1314.7500,865620
2023-02-23,1375.0000,1439.0500,1350.0000,1383.6000,722478
2023-02-22,1539.7000,1560.0000,1381.0500,1404.8500,614801
2023-02-21,1620.0000,1644.3500,1550.0000,1568.4000,272056
2023-02-20,1641.0000,1685.0000,1561.1000,1619.5500,307074
2023-02-17,1813.0000,1815.0000,1705.0000,1721.7500,308300
2023-02-16,1820.0000,1873.9000,1790.5500,1796.3000,310819
2023-02-15,1784.0000,1825.0000,1750.3000,1778.4500,594354
2023-02-14,1730.0000,1889.0000,1611.3000,1750.3000,787056
2023-02-13,1847.3500,1921.0000,1662.6500,1717.5500,1130582
2023-02-10,1765.0000,1990.0000,1734.6000,1847.3500,902453
2023-02-09,2200.0000,2200.0000,1726.9500,1927.3000,1205512
2023-02-08,1870.0000,2220.9000,1843.9000,2158.6500,1231884
2023-02-07,1568.0500,1965.5000,1525.0500,1802.5000,1224629
2023-02-06,1597.9500,1612.9000,1433.6000,1572.4000,1198814
2023-02-03,1499.0000,1678.9000,1017.1000,1584.2000,2407391
2023-02-02,2341.5500,2341.5500,1513.9000,1564.7000,2007736
2023-02-01,3030.0000,3030.0000,1942.0000,2128.7000,967171
2023-01-31,2980.0000,3072.9500,2918.6000,2975.0000,568974
2023-01-30,2771.0500,3038.3500,2666.0000,2878.5000,1747957
2023-01-27,3300.0000,3342.2500,2712.0000,2762.1500,872950
2023-01-25,3420.0000,3424.7000,3315.7000,3389.8500,120627
2023-01-24,3440.1000,3506.6500,3429.0500,3442.7500,48027
2023-01-23,3454.7500,3459.9500,3414.0000,3434.5000,51149
2023-01-20,3455.0000,3476.9500,3439.9000,3456.4000,40698
2023-01-19,3463.5000,3537.8500,3427.0500,3461.6000,111715
2023-01-18,3642.0000,3647.7000,3528.6500,3595.3500,89673
2023-01-17,3611.2500,3649.0500,3560.0500,3638.8500,42123
2023-01-16,3722.0000,3739.0000,3598.6500,3619.0000,75078
2023-01-13,3654.0000,3736.2000,3642.9500,3721.4000,42252
2023-01-12,3636.0000,3679.4000,3613.0000,3645.3500,33421
2023-01-11,3660.0000,3663.5500,3558.0000,3635.2000,118498
2023-01-10,3858.0000,3862.1500,3554.3000,3647.2000,111428
2023-01-09,3832.0500,3879.0000,3813.2500,3854.2000,45973
2023-01-06,3829.1000,3868.0000,3799.6000,3824.3500,33126
2023-01-05,3834.9000,3842.0000,3759.0000,3829.1000,35948
2023-01-04,3833.1000,3874.5000,3805.0000,3827.5500,26349
2023-01-03,3836.0000,3852.8500,3791.0000,3830.3500,18280
2023-01-02,3874.7000,3874.7000,3821.0000,3840.7000,37446
2022-12-30,3812.1000,3899.3000,3812.1000,3859.3500,40484
2022-12-29,3794.0000,3825.0000,3750.0000,3810.0000,39597
2022-12-28,3761.9000,3824.9500,3746.2000,3796.9500,51895
2022-12-27,3738.0000,3796.8000,3697.9000,3769.6500,49689
2022-12-26,3647.0000,3745.0000,3620.5000,3715.6500,59522
2022-12-23,3813.0000,3846.7000,3617.0000,3640.9500,126632
2022-12-22,3918.3000,3944.9000,3818.1000,3867.1000,148443
2022-12-21,4172.0000,4189.5500,3883.4500,3902.9500,127404
2022-12-20,4099.0000,4172.9000,4066.0000,4164.2500,120005
2022-12-19,3994.0000,4104.5500,3973.0000,4081.3000,29508
2022-12-16,4001.0500,4047.0000,3946.0000,3979.1000,35649
2022-12-15,4048.1000,4070.2000,4026.0500,4043.0500,43241
2022-12-14,4089.9500,4091.4000,4043.9000,4056.4000,26723
2022-12-13,4038.0000,4072.8500,4011.6000,4058.8500,23269
2022-12-12,4000.0000,4030.9000,3970.0000,4016.6000,28866
2022-12-09,4045.0000,4093.0000,3944.5000,3995.8000,99343
2022-12-08,4002.0000,4046.0500,4002.0000,4025.5500,28026
2022-12-07,4026.0000,4056.5500,3985.3000,3998.3000,36742
2022-12-06,3915.0000,4057.3500,3912.4500,4031.0000,92271
2022-12-05,3925.0000,3937.0000,3810.2500,3929.5500,76258
2022-12-02,3901.0000,3961.0000,3885.8000,3921.4500,36469
2022-12-01,3938.0000,3944.5500,3902.4500,3914.9000,43890
2022-11-30,3908.9500,3939.6500,3866.7500,3920.0500,108200
2022-11-29,3880.0000,3916.2000,3864.7500,3879.2000,38066
2022-11-28,3892.0000,3925.0000,3871.3000,3885.2500,54084
2022-11-25,3925.0500,3950.9500,3847.2500,3903.3500,84085
2022-11-24,3912.2000,3935.0000,3822.0000,3922.0000,109450
2022-11-23,4048.1000,4060.0000,3873.0500,3903.6500,131366
2022-11-22,4014.0000,4056.0000,3987.3000,4035.6000,41648
2022-11-21,4017.0000,4017.0000,3920.8000,4001.1000,63917
2022-11-18,4060.0000,4060.0000,3985.4000,4019.8500,36718
2022-11-17,3980.0000,4032.0000,3900.1500,4017.6500,64000
2022-11-16,4069.0000,4098.1000,3864.8500,3956.4500,85505
2022-11-15,4022.0000,4065.0000,4022.0000,4057.5500,60100
2022-11-14,3997.0500,4077.7000,3995.0000,4021.0500,57502
2022-11-11,4049.0000,4049.0000,3975.0500,4008.7000,78668
2022-11-10,3997.1500,4028.0000,3962.7500,3992.9000,73105
2022-11-09,3970.0500,4047.2500,3943.3500,3997.1500,198050
2022-11-07,3840.1500,4015.0000,3820.6000,3961.1500,231469
2022-11-04,3630.0000,3850.0000,3566.2000,3832.3500,308319
2022-11-03,3541.0000,3613.1000,3541.0000,3591.1000,51974
